Gender,ClassYear,GPA,CreditsEarned,TransferCredits,APCredits
F,U2,3.33,32,0,8
M,U4,3.83,116,9,4
M,U2,4,36,0,56
M,U4,3.53,28,62,0
F,U2,2.43,28,0,0
F,U3,2.97,30,36,0
M,U4,3.45,97,0,0
F,U4,3.3,94,3,0
F,U2,3.13,32,0,0
F,U2,3.2,28,0,0
F,U2,3.68,33,0,24
M,U4,3.22,96,0,8
F,U3,2.99,64,0,4
M,U4,3.44,32,63,0
M,U4,2.71,92,0,4
F,U2,2.44,33,0,0
F,U3,3.49,68,0,32
F,U3,2.81,60,0,16
F,U4,2.07,106,6,0
F,U4,2.8,28,63,4
F,U2,3.89,32,0,0
F,U2,3.71,32,0,32
F,U4,2.61,52,59,0
M,U2,2.14,28,0,20
F,U2,3.8,20,0,16
F,U4,3.29,96,0,12
F,U4,2.98,109,0,0
M,U2,3.14,33,0,12
M,U3,1.86,20,12,4
F,U3,3.14,64,0,12
F,U2,3.38,24,4,0
F,U4,2.77,103,0,4
F,U4,3.25,124,0,0
M,U2,3.93,16,0,0
F,U3,3.29,67,0,0
M,U2,3.6,36,0,0
F,U4,3.2,96,0,16
F,U2,2.73,28,4,0
F,U3,2.03,54,16,0
M,U4,2.11,80,0,0
F,U3,3.48,36,17,0
M,U4,2.53,88,17.6,0
F,U2,3.96,32,0,24
M,U3,3.98,65,0,0
F,U2,2.66,29,0,4
F,U2,3.59,32,0,20
M,U4,3.25,96,0,16
F,U4,3.74,96,0,24
F,U4,3.02,97,0,8
M,U3,2.58,58,0,24
F,U4,3.45,92,3,0
F,U4,3.52,80,3,48
F,U2,3.14,35,0,8
M,U4,3.52,85,3,24
F,U4,2.57,30,67,4
M,U4,3.41,90,3,0
M,U4,3.91,84,14.5,0
M,U4,2.48,96,0,0
F,U3,3.02,66,0,20
F,U2,3.8,33,0,40
F,U4,3.09,118,0,0
F,U2,3.41,32,0,12
M,U3,3.28,76,0,28
M,U4,3.31,101,0,0
F,U3,3.52,67,25,12
F,U3,3.81,65,0,16
F,U4,2.8,92,0,8
F,U3,3.74,36,0,20
F,U4,2.55,102,9.2,4
F,U2,3.73,32,0,24
M,U4,3.36,66,28,16
F,U4,3.68,100,0,16
F,U4,3.85,75,0,28
F,U3,3.63,33,33,24
M,U4,3.23,104,0,0
F,U3,3.8,32,0,36
F,U2,2.81,28,0,0
M,U3,2.49,60,0,12
M,U4,3.58,118.5,3,28
M,U4,2.59,118,0,0
M,U4,3.89,32,21,0
M,U2,3.31,32,0,24
M,U2,2.57,24,0,0
F,U3,3.4,68,8,4
M,U4,3.22,96,0,12
F,U2,3.71,32,0,48
M,U4,3.01,106,6,28
M,U4,2.71,124,0,0
M,U3,3.27,66,0,4
F,U3,3.71,65,0,32
M,U3,2.95,72,0,12
M,U4,3.37,96,0,28
M,U2,3.13,35,0,28
M,U4,2.78,99,0,20
M,U4,3.02,60,31,4
F,U2,3.54,33,4,12
M,U4,2.44,124.5,0,0
M,U4,2.65,92,3,0
F,U4,3.36,94,6,8
F,U4,3.09,48,57,0
F,U4,3.28,53,42,4
M,U4,3.07,96,0,4
M,U3,3.59,72,0,32
M,U4,3.61,107,0,16
F,U3,3.98,76,0,24
F,U4,2.97,92,0,4
F,U2,2.29,29,0,0
M,U3,3.33,32,0,36
F,U4,3.43,93,0,8
F,U4,3.64,68,23.5,0
F,U2,3.43,32,0,16
F,U3,2.71,68,0,12
F,U3,2.81,40,23,0
F,U2,3.35,34,0,0
F,U2,3.53,28,0,4
F,U3,2.96,64,3,4
M,U2,3.64,33,0,0
F,U2,3.64,33,0,4
F,U4,3.14,106,0,8
M,U3,1.94,78,0,0
F,U3,3.92,35,6,40
F,U3,3.37,44,46.2,0
M,U2,2.19,36,0,0
F,U3,2.86,70,0,0
F,U3,3.88,68,0,28
F,U4,3.15,116,0,0
M,U4,2.8,93,0,8
F,U2,3.59,32,0,20
F,U2,3.38,32,3,24
M,U4,4,100,0,32
M,U4,3.2,100,0,12
F,U4,3.19,105,7,16
M,U2,3.47,30,0,8
M,U2,2.91,33,0,8
F,U4,3.25,93,3,16
F,U3,2.93,74,0,8
F,U3,2.98,60,5,12
F,U2,3.31,40,0,4
F,U4,3.04,92,0,20
F,U4,2.83,104,0,8
F,U2,3.92,37,0,20
F,U2,2.61,24,0,16
F,U4,3.75,66,0,24
M,U4,3.4,102,0,0
F,U4,3.63,64,5,44
M,U2,3.33,33,0,0
F,U4,2.93,98,0,20
F,U2,3.77,28,8,8
M,U3,3.25,68,0,0
F,U3,3.03,85,0,0
F,U2,3.73,32,8,16
F,U2,2.95,32,0,0
F,U4,3.22,95,0,0
F,U4,3.48,44,61,8
F,U4,3.59,110,0,8
M,U4,2.25,100,0,0
M,U2,3.43,33,0,0
M,U3,3.23,67,0,36
F,U3,2.53,34,25,0
M,U3,3.15,71,0,0
F,U4,2.66,104,0,4
F,U4,3.86,100,0,8
F,U4,3.3,95,0,48
M,U3,3.61,92,0,0
M,U4,3.81,96,0,24
M,U4,3.02,101,0,0
M,U4,4,36,0,60
F,U2,3.68,32,0,0
M,U3,3.49,64,0,12
M,U4,3.64,106,0,12
F,U4,3.78,73,0,28
M,U4,2.64,96,0,0
M,U3,2.59,67,0,0
M,U4,2.58,96,0,0
F,U4,2.78,88,0,20
F,U3,3.58,32,0,32
F,U3,3.88,66,0,12
M,U2,2.9,32,0,0
M,U3,3.87,28,19,24
M,U2,2.17,32,0,0
M,U2,2.3,28,0,0
M,U3,2.78,65,12,12
F,U2,2.91,32,5,4
F,U3,3.19,88,0,0
F,U2,3.41,32,0,28
F,U4,3.4,111,0,8
M,U3,3.09,72,0,12
M,U2,2.84,28,0,0
M,U2,3.89,32,8,4
M,U2,3.56,36,0,20
F,U3,3.3,52,0,24
F,U2,2.57,28,8,0
F,U4,2.93,113,0,0
M,U2,3.38,32,0,0
F,U4,3.4,98,0,40
F,U4,2.83,92,0,0
M,U3,2.12,56,0,0
F,U2,2.66,28,0,0
F,U3,2.41,53,8,0
F,U4,2.56,94,8,0
F,U3,2.41,56,0,0
F,U2,2.95,24,0,4
F,U3,2.26,46,0,24
M,U3,3.41,76,0,0
M,U4,2.21,85,0,24
F,U4,2.96,114,0,8
F,U2,3.61,32,0,28
F,U2,3.59,35,0,36
M,U4,3.97,36,52,12
M,U2,2.29,32,0,0
M,U2,2.91,32,0,8
F,U4,2.13,65,55,0
F,U3,3.24,62,12,8
F,U3,2.57,12,47,16
F,U3,3.51,32,10,24
F,U4,3.46,100,0,28
F,U2,3.34,32,6,0
F,U3,2.53,46,0,0
F,U3,3.54,68,0,8
F,U4,3.43,68,22,0
M,U4,2.13,116,0,0
F,U2,3.5,32,0,20
F,U4,3.82,104,0,20
M,U4,3.58,117,0,12
M,U2,3.9,37,0,28
F,U2,3.3,33,0,8
M,U3,3.23,68,0,8
F,U2,2.7,40,0,0
F,U4,3,96,0,12
F,U2,3.08,32,0,0
F,U3,3.52,64,0,28
F,U4,3.54,29,39,4
M,U2,2.57,28,0,0
F,U3,3.86,68,0,16
F,U3,3.64,64,38,32
M,U4,3.91,101,0,28
F,U4,3.8,73,0,16
F,U3,3.52,68,6,8
M,U4,2.47,130,6,16
F,U3,3.42,20,43,4
F,U4,3.82,94,6,20
F,U4,3.66,104,0,16
M,U3,3.15,66,0,0
F,U2,3.07,40,9,0
M,U3,3.72,68,0,16
F,U2,3.8,32,0,24
M,U4,3.16,106,6,0
F,U4,3.21,64,4,24
M,U4,3,60,28,0
M,U4,3.05,112,0,0
F,U4,3.28,101,0,20
F,U2,3.75,32,8,12
M,U3,3.54,64,0,20
F,U4,3.36,73,0,48
M,U4,3.9,100,0,0
F,U4,3.25,104,6,8
M,U4,2.7,96,0,0
F,U4,3.18,96,0,0
F,U4,3.35,88,9,0
F,U4,3.38,100,11,4
M,U4,3.78,60,0,40
F,U2,2.46,32,0,8
M,U4,3.37,100,0,20
F,U4,3.61,96,0,24
F,U4,3.24,93,0,24
M,U2,3.01,32,3,4
F,U4,3.35,100,0,4
F,U3,3.21,60,9,4
F,U4,3.26,96,0,28
F,U4,3.49,109,0,24
F,U4,3.78,103,0,44
F,U4,2.89,92,11,8
M,U4,2.67,104,0,24
M,U3,2.38,56,0,8
M,U2,2.76,36,11,0
F,U4,2.99,92,0,24
F,U2,3.61,32,8,4
F,U4,3.65,71,0,40
F,U4,3.01,95,0,0
F,U4,3.29,94,0,16
F,U2,2.87,28,4,0
F,U4,3.23,64,13,4
F,U2,2.18,28,0,0
F,U4,3.44,64,33,8
F,U3,3.75,32,0,20
M,U3,3.4,60,0,20
M,U4,3.21,96,0,0
M,U3,2.71,32,76,0
F,U2,3.08,32,0,16
F,U3,3.01,64,0,12
F,U4,3.68,100,0,0
M,U4,3.71,100,12,0
M,U3,2.43,40,0,20
F,U4,2.86,100,0,20
F,U3,3.43,64,7,4
F,U4,3.98,107,0,8
F,U4,3.69,53,56,0
F,U2,3.04,32,0,16
M,U2,0.33,4,0,0
F,U2,2.8,28,0,8
F,U2,3.22,33,8,0
M,U4,1.99,88,4,0
F,U2,3.04,33,0,0
M,U2,2.83,32,0,8
M,U4,3.6,97,0,0
M,U2,2.4,24,0,0
F,U3,3.9,64,0,0
F,U2,2.4,30,0,12
M,U2,3.23,24,0,20
M,U4,3.52,92,0,0
M,U2,3.51,32,0,0
F,U4,3.23,96,0,16
F,U3,3.86,28,24,0
F,U2,2.43,29,0,12
M,U4,3.9,101,3,20
M,U2,2.88,32,0,4
M,U4,2.48,120,0,0
F,U4,3.88,102,0,52
M,U2,3.5,32,4,0
F,U4,2.69,96,0,12
F,U3,3.77,28,35.6,8
F,U3,3.16,81,0,16
F,U4,3.62,66,27,0
M,U4,2.18,56,27,0
M,U3,3.92,84,0,20
F,U4,3.3,88,0,24
F,U3,3.83,16,13,24
F,U3,3.69,56,0,12
F,U3,3.27,83.5,8,0
M,U4,3.75,96,0,28
F,U4,2.87,88,0,20
M,U4,3.63,155,0,0
F,U4,3.4,64,0,48
M,U2,3.21,33,0,16
F,U2,3.92,37,3,20
M,U2,2.72,32,0,32
F,U4,3.02,108,28,0
F,U2,2.88,24,0,36
F,U4,3.53,84,0,20
F,U4,3.23,100,0,0
M,U3,2.93,65,0,16
M,U4,3.48,92,26,0
F,U2,3.08,35,0,4
M,U2,1.91,28,0,0
F,U3,3.4,74,0,20
F,U3,3.12,68,0,4
F,U4,3.14,87,0,0
M,U2,3.25,32,0,0
M,U2,3.82,33,0,0
M,U2,3.54,32,0,12
F,U4,3.78,103,0,12
M,U3,3.71,64,0,24
F,U2,3.3,33,0,0
M,U4,3.41,96,0,0
F,U3,3.42,65,0,16
F,U3,3.9,64,0,0
F,U2,2.97,43,0,16
F,U2,3.9,36,0,0
M,U2,1.91,28,0,0
F,U4,3.5,96,0,24
M,U2,3.51,28,10,20
F,U2,2.52,39,0,28
M,U2,3.59,33,4,20
F,U2,3.97,36,0,12
F,U4,3.67,99,0,28
M,U3,2.12,54,0,8
M,U2,3.04,32,0,8
F,U2,3.54,32,0,16
F,U4,3.37,92,4,0
M,U2,3.33,32,0,8
M,U2,2.94,36,0,16
F,U3,3.18,65,0,0
M,U3,2.39,45,0,0
M,U4,3.67,110,0,32
M,U2,2.47,44,0,0
F,U3,2.16,64,0,0
M,U4,2.39,88,0,0
M,U4,3.91,72,14,36
F,U3,2.56,68,0,4
F,U2,3.29,32,8,0
F,U3,3.78,68,0,0
F,U2,2.82,26,8,4
F,U3,2.93,16,44,0
M,U3,3.79,80,0,64
F,U2,0,0,0,0
M,U4,3.67,98,0,28
F,U2,3,28,5,12
F,U3,3.31,64,0,0
M,U2,2.75,32,0,0
F,U3,3.81,74,0,16
M,U4,3.85,104,0,36
M,U4,2.37,92,0,20
M,U4,2.59,108,0,0
F,U4,2.86,112,0,0
M,U2,3.25,32,0,20
M,U3,2.75,60,0,16
F,U4,3.57,96,0,32
F,U4,1.94,136,0,0
M,U3,3.51,71,0,0
F,U2,3.51,34,6,0
M,U4,3.7,101,0,0
F,U2,3.29,32,0,8
F,U2,2.66,36,0,0
M,U3,1.53,36,0,0
F,U3,2.97,28,30,0
M,U3,2.76,34,17,0
M,U4,2.7,90,0,12
F,U3,3.08,33,0,16
F,U4,3.54,96,0,16
F,U3,3.04,75,0,0
M,U4,2.76,101,0,0
M,U4,3.69,64,56.3,0
F,U4,3.52,74,50,0
M,U4,3.98,69,0,44
F,U4,2.42,108,0,8
M,U3,3.08,50,0,0
M,U2,2.5,32,0,4
M,U2,2.79,34,0,0
M,U4,3.1,152,0,0
F,U4,2.43,94,0,20
M,U2,2.95,32,28,8
M,U2,2.95,33,0,0
M,U4,3.44,64,0,40
F,U3,3.55,66,0,0
M,U4,3.23,92,0,12
M,U2,1.96,28,0,16
F,U4,3.55,120,0,60
F,U3,3.56,64,0,0
F,U3,3.52,72,0,0
M,U2,1.91,20,0,0
F,U2,3.34,29,0,0
F,U2,3.68,32,8,12
M,U2,3.36,37,0,20
M,U4,3.36,92,0,28
F,U4,2.97,92,3,0
F,U4,3.17,110.5,0,0
F,U2,3.83,32,0,0
F,U4,2.74,116,0,0
F,U2,2.97,36,0,12
F,U2,3.68,32,0,0
M,U4,2.96,88,0,8
F,U4,3.32,96,10,16
M,U2,3.31,32,0,12
F,U3,4,32,0,28
M,U4,3.37,91,0,12
F,U2,3.19,32,6,12
M,U4,2,93,0,24
F,U4,3.32,85,12,12
F,U4,3.06,92,0,8
F,U4,3.67,114,0,28
F,U3,3.57,28,7,36
F,U2,3.5,41,0,8
F,U2,2.05,28,0,4
M,U4,3.83,97,0,44
F,U3,3.63,32,0,32
F,U4,3.66,99,0,12
F,U2,3.6,32,0,20
M,U4,3.67,92,4,8
F,U3,3.55,60,0,8
M,U3,3.26,40,31,0
F,U2,3.43,32,0,40
M,U2,2.93,32,0,0
F,U4,3.51,96,3,32
F,U3,3.8,74,0,0
F,U3,3.58,64,0,0
F,U4,3.39,74,0,16
F,U4,3.53,96,0,32
F,U2,3.48,36,4,0
M,U2,3.96,34,0,20
F,U3,3.15,68,0,8
F,U4,2.83,96,0,0
F,U4,3.11,84,15,8
M,U2,2.55,32,0,0
M,U4,3.6,131,0,0
F,U2,3.83,32,0,0
F,U4,3.27,98,0,28
M,U4,3.79,96,15,0
M,U4,3.17,98,0,28
F,U4,3.34,96,0,20
F,U3,3,66,15,16
M,U3,2.3,4,16.7,12
M,U2,2.83,24,0,16
F,U4,2.99,113,0,4
M,U2,2.95,34,0,0
F,U2,2.54,36,0,0
F,U3,3.29,76,0,0
M,U4,3.77,69,0,40
F,U4,3.71,95,0,4
F,U3,2.92,64,0,24
M,U3,3,24,19,20
F,U4,3.93,99,4,32
M,U4,2.91,92,0,8
M,U3,3.55,76,0,36
M,U2,3.82,36,0,40
M,U3,3.78,67,6,20
M,U4,3.18,100,0,28
F,U2,2.71,32,0,0
F,U4,3.59,65,0,32
M,U4,3.37,103.5,0,0
F,U4,3.84,40,45,16
M,U2,2.47,28,0,24
M,U2,3.8,33,0,28
F,U4,3.4,94,8,4
F,U3,3.59,65,0,0
F,U2,2.47,35,0,16
F,U2,3.24,33,0,8
F,U3,3.47,68,0,12
M,U3,3.3,64,0,0
M,U3,3.97,36,15,0
M,U4,2.87,114,8,12
F,U2,3.66,32,0,0
F,U4,3.69,84,0,12
F,U4,3.57,101,0,0
F,U4,3.65,96,7,0
F,U2,3.18,32,3,0
F,U2,3.93,32,6,0
M,U3,2.87,64,0,4
F,U3,2.87,45,0,8
F,U2,3.49,35,0,0
F,U4,3.72,113,0,32
F,U4,3.12,99,0,0
F,U2,2.31,34,0,0
F,U3,2.97,65,0,12
F,U3,3.41,61,0,20
M,U4,3.59,84,20,0
F,U4,3.96,100,0,32
F,U4,2.81,96,0,24
F,U4,3.49,66,0,32
M,U3,3.06,64,0,0
F,U4,3,96,0,40
M,U3,3.2,60,3,0
M,U3,2.85,57,0,12
M,U2,3.55,40,0,16
F,U4,2.84,104,4,0
M,U3,2.38,60,0,4
M,U3,3.2,74,0,4
M,U4,3.42,127,8,20
M,U4,3.63,92,0,48
F,U3,2.64,64,0,4
M,U4,2.88,76,0,0
F,U3,3.51,60,0,4
F,U2,3.34,34,0,20
M,U4,3.58,96,0,0
F,U4,3,97,6,0
M,U3,2.91,65,0,0
F,U3,2.33,64,0,4
F,U4,3.39,96,0,28
F,U2,3.63,33,0,20
F,U3,2.25,62,0,16
F,U3,2.98,48,40,0
F,U3,3.16,64,0,8
M,U2,3.39,33,0,0
M,U4,3.32,97,0,16
M,U3,2.91,60,0,32
F,U3,3.65,65,0,4
F,U2,1.8,28,0,0
F,U3,2,56,0,0
F,U2,3.46,33,0,24
M,U4,2.88,98,0,0
M,U2,3.44,36,0,0
M,U3,3.29,56,0,0
M,U3,2.58,61,0,20
F,U4,3.31,96,0,0
M,U2,3.07,30,0,8
M,U2,2.33,32,0,0
F,U4,3.75,97,0,20
F,U2,3.75,33,6,12
F,U3,3.14,30,33,0
M,U4,3.04,56,32,0
F,U3,3.71,69,0,0
M,U4,3.09,99,0,28
F,U3,2.92,71,0,20
F,U3,3.39,32,0,28
F,U4,3.69,120,0,4
M,U2,4,36,0,44
F,U3,3.29,63,0,12
M,U4,3.65,120,0,8
M,U4,3.74,96,0,16
F,U3,3,32,38,0
M,U3,3.23,74,0,20
F,U4,2.47,89,3,0
F,U3,3.93,33,0,44
F,U4,3.43,77,32,24
F,U4,3.64,101,8,20
F,U4,3.52,100,0,12
M,U4,2.73,68,36,0
M,U3,3.57,91,0,24
F,U4,2.44,100,0,4
F,U4,3.58,116,32,0
F,U4,3.31,130,0,0
F,U4,2.3,90,0,4
F,U4,2.86,110,0,0
F,U3,3.5,70,0,4
M,U4,2.79,32,68,0
F,U2,2.73,28,8,0
M,U2,3.85,43,0,16
F,U2,3.46,32,0,24
M,U3,2.63,66,0,16
F,U2,3.13,32,0,0
F,U2,3.8,33,0,4
M,U3,2.54,62,0,20
F,U2,3.09,24,0,12
M,U2,2.74,40,0,8
M,U3,2.9,38,26.5,0
F,U4,3.33,96,0,12
M,U4,2.59,88,57,0
M,U2,1.98,28,0,8
M,U4,3.52,96,6,0
F,U2,3.29,32,0,48
M,U3,3.31,68,0,0
M,U2,3.25,40,0,12
M,U3,3.32,66,0,20
F,U3,3.89,36,44,0
M,U3,3.35,66,16,8
F,U3,3.41,64,0,8
F,U2,3.14,32,0,16
F,U4,3.47,96,0,0
F,U4,3.94,100,0,56
F,U2,3.62,39,0,20
F,U2,3.36,33,0,20
F,U4,3.47,96,0,24
F,U2,3.28,32,0,28
F,U3,3.34,64,0,0
M,U3,2.83,68,0,0
F,U3,3.82,83,0,0
M,U4,3.05,116,0,4
F,U2,3.77,38,8,16
M,U2,3.55,32,0,12
F,U3,3.44,68,0,12
M,U4,2.37,88,16,0
M,U2,2.59,28,0,8
F,U2,2.99,32,0,20
M,U3,3.9,12,40,0
F,U4,2.95,96,0,4
M,U2,2.21,28,0,0
M,U3,3.87,60,0,20
F,U2,1.96,33,0,0
M,U4,2.41,96,0,0
F,U4,2.86,96,0,0
F,U4,2.93,105,0,16
F,U2,3.34,33,0,4
M,U2,3.87,36,0,0
F,U2,3.29,35,0,20
F,U4,3.29,134,0,16
F,U2,2.95,32,0,16
F,U3,3.05,66,0,4
M,U3,2.59,26,52,0
F,U3,1.89,60,0,0
F,U3,2.47,32,0,0
M,U2,2.5,29,0,4
F,U3,2.35,68,0,0
M,U4,3.13,96,0,0
M,U2,3.44,48,0,0
M,U4,3.02,94,0,20
F,U4,3.46,93,3,24
F,U3,3.28,72,0,0
M,U4,2.64,60,9,64
M,U4,2.74,100,2.6,0
M,U2,3.59,34,0,12
M,U4,3.56,104,0,0
F,U4,3.07,108,0,16
F,U3,3.98,79,3,16
F,U2,2.93,32,0,20
F,U2,3.38,32,0,0
F,U4,3.23,92,0,12
M,U4,3.13,92,4,0
F,U2,2.14,24,0,12
F,U4,3.5,98,0,0
M,U4,3.45,129,69,0
F,U3,3.09,68,0,20
M,U2,2.19,25,8,4
F,U4,3,102,0,0
M,U4,3.15,100,0,8
F,U2,3.85,33,0,16
M,U2,2.49,33,0,0
F,U3,2.56,69,0,0
F,U2,2.66,33,0,16
F,U3,2.57,28,27,0
M,U2,2.76,28,0,0
F,U3,3.97,40,34,8
M,U2,2.3,24,0,0
M,U3,4,72,0,36
M,U4,3.14,100,24,0
F,U4,3.12,96,0,0
M,U4,2.8,104,4,12
M,U4,3.28,112,0,12
F,U2,3.43,34,0,20
F,U4,2.77,96,0,8
F,U4,3.96,32,37,28
F,U4,2.46,53,0,0
F,U3,2.46,32,32,0
F,U2,3.43,32,0,36
M,U2,3.16,32,0,4
F,U3,3.1,72,0,24
F,U2,3.09,28,6,4
F,U3,3.89,32,62,0
F,U4,2.9,92,0,24
M,U3,3.32,60,0,0
M,U4,3.34,108,0,0
M,U2,3.04,36,0,0
F,U2,2.71,28,0,0
M,U2,3.64,31,0,0
M,U4,2.83,94,4,0
M,U3,3.05,70,0,0
F,U4,3.23,94,0,24
M,U2,3.87,28,0,0
F,U2,2.97,12,0,0
F,U4,3,96,6,0
F,U2,4,48,0,12
F,U3,3.5,72,0,0
F,U3,3.96,72,0,0
F,U2,3.75,33,11.3,4
F,U4,2.5,124,0,0
F,U2,2.5,32,0,4
F,U2,2.31,28,0,8
M,U4,2.98,106,0,16
M,U2,3.09,32,8,12
M,U2,3.79,33,0,8
F,U3,3.77,72,8,4
F,U3,3.18,64,0,0
F,U4,3.36,116,0,0
F,U2,3.53,28,0,0
M,U2,3.03,48,0,0
M,U2,3.77,40,0,0
M,U3,3.66,72,0,0
F,U4,3.65,113,9,32
M,U4,3.59,96,0,0
M,U3,3.52,36,0,36
F,U3,3.8,64,0,28
F,U4,2.86,100,0,8
M,U4,2.99,92,0,0
F,U2,2.84,34,0,0
F,U3,3.84,64,0,12
M,U3,3.37,67,0,12
F,U2,2.96,32,0,8
F,U3,3.34,65,0,4
F,U4,3.51,48,41,0
M,U4,3.32,96,0,0
F,U3,3.62,67,0,40
M,U4,2.15,44,0,32
F,U4,3.32,100,27,0
M,U4,2.83,60,36,0
M,U3,3.58,100,12,0
F,U4,3.56,104,3,32
F,U3,3.38,32,35,0
M,U3,1.84,23,9,0
F,U3,2.99,50,0,8
F,U2,3.21,32,0,16
M,U2,2.18,32,0,0
M,U3,1.33,52,0,0
F,U4,3.21,112,0,16
F,U3,3.03,67,9,0
F,U2,3.16,33,0,0
F,U2,2.68,32,0,8
M,U3,3.18,64,0,0
F,U4,3.72,97,0,16
F,U4,3.37,84,7.5,0
M,U4,2.91,86,16,0
M,U4,2.58,52,56,0
F,U2,3.15,33,0,4
M,U4,3.53,60,0,16
F,U3,2.9,66,0,8
M,U4,2.9,108,0,36
F,U3,3.21,70,0,36
F,U4,3.58,93,0,32
F,U4,3.22,94,0,0
F,U4,3.56,109,6,4
M,U2,2.39,28,0,0
M,U4,1.86,96,0,0
M,U4,2.73,115,0,0
M,U2,3.43,32,9,0
F,U3,2.83,64,0,20
M,U4,2.8,108,0,0
F,U2,2.55,24,8,0
F,U4,3.56,96,4,12
M,U4,2.68,96,0,8
M,U2,2.55,37,0,0
F,U4,3.18,100,0,0
M,U2,3.07,35,8,0
M,U3,2.01,60,8,0
M,U2,3.48,40,0,56
F,U3,3.07,65,0,0
F,U3,2.53,56,4,12
F,U3,2.98,60,0,0
F,U3,3.16,68,0,0
M,U3,3.27,64,0,8
F,U3,3.6,32,25,12
F,U3,3.55,68,0,12
F,U3,2.99,65,0,4
F,U3,3.09,70,0,4
M,U3,3.08,64,0,16
M,U3,3.36,36,0,28
F,U3,3.57,72,0,20
M,U4,2.16,48,0,12
M,U2,3.61,32,0,0
F,U4,2.91,87,0,28
M,U4,1.86,136,13,0
F,U2,2.79,32,0,16
F,U4,3.49,124,0,8
F,U4,3.5,73,6,24
F,U2,3.1,24,0,28
M,U2,3.1,41,0,0
M,U4,3.35,96,0,20
F,U2,3.04,32,6,12
F,U4,3.71,96,0,0
F,U3,3.47,64,0,0
F,U4,3.5,100,0,8
F,U2,3.52,34,0,24
M,U3,2.33,64,0,0
F,U4,3.43,108,0,20
F,U3,3.68,74,0,0
M,U2,3.52,25,0,4
F,U4,3.63,106,0,32
M,U4,2.69,57,30,0
M,U3,3.08,42,25,0
F,U3,3.55,32,0,52
F,U3,3.78,29,20,24
F,U2,3.54,28,0,8
F,U3,3.49,61,9,4
F,U4,3.37,92,0,24
F,U4,2.99,108,0,16
M,U2,3.24,32,0,0
F,U2,3.62,37,0,4
F,U4,3.38,36,52.8,4
F,U3,3.01,67,4,0
F,U4,3.95,108,12,0
F,U4,3.29,93,0,24
F,U2,2.77,28,0,0
F,U4,3.46,96,0,0
M,U4,3.25,32,64,32
F,U4,3.17,96,3,12
M,U4,3.82,104,4,0
F,U2,3.38,33,0,0
F,U4,2.55,92,0,0
M,U2,3.6,40,4,16
F,U4,3.89,109,0,20
F,U4,3.09,96,0,0
F,U3,3.34,33,0,16
F,U4,3.65,88,8,0
F,U4,3.91,65,4,36
M,U4,3.96,74,0,48
F,U4,3.72,68,0,40
F,U4,3.53,104,0,0
F,U2,3.19,36,0,12
F,U4,2.27,100,4,0
F,U2,3.35,32,0,0
M,U4,3.59,148,0,0
F,U3,3.46,68,0,20
M,U3,3.69,64,6,36
M,U3,3.34,65,0,0
M,U4,3.48,99,0,24
F,U4,3.05,96,0,0
M,U2,3.7,32,0,0
M,U2,3.2,32,12,0
F,U3,3.31,28,15,0
M,U4,2.87,100,0,0
M,U4,2.43,54,31,0
F,U4,3.4,98,0,16
F,U2,2.93,40,0,0
M,U4,3.17,92,0,8
M,U2,3.26,33,0,36
M,U4,3.56,96,0,16
F,U4,2.3,116,0,16
M,U2,3.5,32,0,20
F,U4,2.8,84,9,4
F,U2,3.21,40,0,24
F,U4,3.41,72,0,48
F,U3,1.81,25,26,0
F,U3,3.39,65,6,16
F,U2,2.4,24,3,0
F,U3,3.07,64,0,20
M,U4,2.26,122,6,0
M,U2,2.87,28,0,12
F,U4,2.87,92,0,4
F,U3,2.57,64,0,4
M,U4,3.7,80,6,32
F,U4,2.27,88,0,20
F,U2,3.63,40,0,12
M,U2,2.76,32,0,0
M,U2,2.38,33,0,24
F,U3,3.36,64,0,4
F,U4,3.33,98,0,8
F,U2,1.93,16,0,16
F,U3,2.52,63,8,8
M,U4,3.18,89,0,20
F,U3,3.31,62,14,4
F,U4,1.71,12,0,0
M,U3,2.9,64,0,0
M,U2,3.85,32,0,20
F,U2,2.8,28,6,0
M,U2,2.6,20,0,0
M,U2,3.2,32,0,0
F,U2,3.76,33,12,8
F,U2,3.63,32,13,16
F,U3,1.98,52,30.3,20
F,U3,3.88,32,0,32
F,U2,3.92,28.5,0,16
F,U3,3.59,64,0,20
M,U3,2.69,40,34,0
M,U3,3.3,37,0,32
M,U3,3.08,58,0,0
F,U2,3.19,28,0,0
F,U4,3.58,95,0,0
M,U2,3.47,28,0,0
F,U2,2.8,33,0,0
F,U4,3.24,112,0,16
F,U3,3.87,28,32,0
M,U2,3.55,32,0,12
F,U2,2.3,33,0,0
M,U2,3.11,35,0,12
F,U2,3.83,32,0,20
M,U3,3.97,71,0,0
F,U2,3.2,32,0,8
F,U3,2.71,62,3,0
M,U3,3.01,58,0,4
F,U4,3,96,0,4
M,U3,2.75,60,0,0
M,U2,3.06,32,0,24
M,U3,3.16,65,0,20
F,U2,3.43,34,4,20
F,U4,3.02,92,0,0
F,U2,3.52,35,0,8
F,U4,2.94,64,0,0
M,U2,2.67,30,0,8
M,U3,2.44,88,0,0
M,U4,3.7,104,0,32
F,U3,3.33,66,0,20
F,U4,2.91,110,0,4
M,U2,2.67,32,0,28
M,U2,3.8,32,0,0
F,U4,3.83,102,0,36
